abandon	từ bỏ
able	có năng lực, có tài
about	khoảng,về
above	ở trên, lên trên
act	hành động, cử chỉ
add	cộng, thêm vào
afraid	sợ hãi, hoảng sợ
after	sau, sau khi
again	lại, lần nữa
age	tuổi
agianst	chống lại, phản đối
ago	trước đây
agree	đồng ý
air	không khí
all	tất cả
allow	cho phép, để cho
also	cũng, cũng vậy
always	luôn luôn
among	ở giữa
and	và
anger	sự tức giận
animal	động vật
answer	trả lời, sự trả lời
any	một người, vật nào đó
appear	xuất hiện
apple	táo
area	diện tích
arm	cánh tay, vũ trang
arrange	sắp xếp, sửa soạn
arrive	đến, tới nơi
art	nghệ thuật
ask	hỏi
at	ở tại (chỉ vị trí)
atom	nguyên tử
baby	trẻ thơ
back	lưng, trở lại
bad	tồi, xấu
ball	quả bóng
band	băng, đai, nẹp
bank	ngờ, đê, ngân hàng
bar	quán bán rượu
basis	cơ bản , cơ sở
be	thì, là
bear	mang, cầm
beat	tiếng đập, đấm
beauty	đẹp, vẻ đẹp
bed	cái giường
before	trước
began	bắt đầu, mở đầu
begin	mở đầu, khởi đầu
belive	tin,tin tưởng
bell	cái chuông
best	tốt nhất
big	to, lớn
black	đen
blue	màu xanh
body	thân thể
book	sách, ghi, đặt
born	sinh
bottom	cuối cùng
bought	mua
boy	con trai
bread	bánh mỳ
bright	sáng, sáng chói
broke	hút thuốc
brother	em trai, anh trai
build	xây dựng
busy	bận, bận rộn
buy	mua
call	gọi
camp	cắm trại
can	có thể, nhà giam
capital	thủ đô, chủ yếu
captain	người cầm đầu
car	xe hơi
card	thẻ
care	quan tâm, chăm sóc
cat	mèo
catch	nắm lấy
cause	nguyên nhân, gây nên
cell	ô, ngăn
center	ở giữa, trung tâm
century	thế kỷ
chair	ghế
change	thay đổi
character	tính cách, đặc tính
check	kiểm tra
chick	gà con
children	đưá trẻ
choose	chọn
circle	hình tròn
city	thành phố
class	lớp
clean	sạch sẽ
climb	leo trèo
clock	đồng hô
close	đóng, che đậy
clothe	quần áo
cloud	đám mây
cold	lạnh
color	màu sắc
come	đi tới
company	công ty
compare	so sánh , đối chiếu
complete	hoàn thành
condition	tình cảnh,  điều kiện
connect	kết nối
consider	để ý , quan tâm, xem xét
contain	bao hàm
continue	tiếp tục
control	điều khiển, quyền lực
cook	nấu ăn
copy	bản sao, sao chép
cost	giá
country	nước, quốc gia, quê
course	khóa học, tiến trình
create	sáng tạo, tạo nên
cry	khóc
cut	cắt
dad	bố
dance	nhảy
dark	bóng tối
day	ngày, ban ngày
dear	thân yêu
decide	quyết định, giải quyết
decimal	thập phân
deep	sâu, khó lường
degisn	thiết kế, phác thảo
depend	phụ thuộc
describe	miêu tả
